algorithm,function,mean,std,median,min,max
NWOA-NM,F12,1211.0766018481866,5.122806599118842,1210.3228197233439,1203.3578477034098,1229.2203044891385
NWOA-NM,F13,4636.376294352736,2165.715212313367,4676.602492763792,1779.874023051991,11315.249599463858
NWOA-NM,F14,1433.4225219350535,6.272130076389124,1433.1178189491447,1415.7260923477304,1448.0499906755042
NWOA-NM,F15,2571.0345088891127,599.2485665585725,2358.6936699077837,1719.650641709541,3787.4600049359888
NWOA-NM,F16,1946.364198852855,238.78051358587624,1821.3627337925498,1681.7431651764477,2495.0237084371706
NWOA-NM,F17,3135.109821383465,1260.5837798136163,2791.287501175449,1778.4731366334393,6791.438722842917
NWOA-NM,F18,1880.9974654473297,49.72269575370468,1859.5214174171635,1834.2313279629827,2021.8943655628166
NWOA-NM,F19,2736.122818138678,898.4649494299558,2553.316147329924,1942.9698769261972,6852.36867103998
NWOA-NM,F2,227.8572222118369,22.78528320741228,219.79893963622703,202.42502805585025,285.0886116317183
NWOA-NM,F20,2022.517096643261,10.189299373917528,2024.809900688045,2003.0095473477486,2043.74917688328
NWOA-NM,F21,2820.0090035028147,1.6202745302503347,2820.2893090586736,2816.411719282585,2822.947104652719
NWOA-NM,F22,2879.1628139793315,16.907497684156343,2877.9198401435424,2856.862864822359,2920.1325208939706
NWOA-NM,F23,28972.285095121882,667.3565867099892,28835.307651670846,27945.725919965276,30565.42925218188
NWOA-NM,F24,3245.073392878609,6.829970350557374,3244.2057573497364,3235.5940378501464,3265.8057734914805
NWOA-NM,F25,3394.476338351013,116.31270237378845,3349.1219247725485,3264.065036230587,3690.7079583369896
NWOA-NM,F26,5284.498645509683,2587.985807126381,4219.129074287128,3683.11484852999,15238.299539051612
NWOA-NM,F27,3683.4851102363004,295.80459951819364,3576.0501406699905,3500.97209838483,4856.519228543888
NWOA-NM,F28,73095.94201607078,960.9545273559341,72913.97993061035,71681.50198963354,76189.05649812562
NWOA-NM,F29,3680.126365241024,35.293141014530825,3697.6939894668712,3581.8266969589295,3701.05221324387
NWOA-NM,F3,958.7794837085082,1157.8722290715823,625.8267503971597,316.54665273077507,6183.328776778701
NWOA-NM,F30,3870.9885565498726,353.2431515274284,3740.0424005846417,3605.0981367827662,5299.530481169177
NWOA-NM,F4,453.3951417932306,22.053551199357873,444.5442062456618,422.70685963019827,505.92480514982685
NWOA-NM,F5,502.7199594001477,0.47307750754928074,502.8349855927728,501.61114356135613,503.417302502942
NWOA-NM,F6,654.5011901207314,14.781475429307115,657.869041592561,620.913205443803,682.3657919405789
NWOA-NM,F7,756.8236387088382,17.71614064527323,752.250004831755,731.003194599416,809.0000247724621
NWOA-NM,F8,817.9232546894253,16.34755232243148,812.8931118025494,800.9828353797725,880.3982730936082
NWOA-NM,F9,901.8602942872827,0.6130492136875697,901.8042485000727,901.008184393725,903.2404116361463
NWOA-PS,F1,5560055.096312655,2456039.9070719113,5081273.649988154,1336580.363418806,10930552.36332302
NWOA-PS,F10,1006.0044108309467,0.756660478469351,1005.9473851021908,1004.9423618832135,1007.7369289583511
NWOA-PS,F11,1185.0247237947644,34.913537464645096,1176.4375112964221,1126.2027321340927,1262.4167277978006
NWOA-PS,F12,1209.7460919027922,2.8364006989987014,1209.3868173939072,1205.0565762941171,1215.48600172066
NWOA-PS,F13,10639.195510692389,6013.0342521240955,10427.734950820699,2632.256624521783,28258.42406915002
NWOA-PS,F14,1426.9332439893712,6.226748369094579,1427.316348962714,1413.3828122590367,1445.038622529004
NWOA-PS,F15,1576.7291671736336,24.687216800707564,1574.5087802205858,1528.646110219592,1636.4748031506438
NWOA-PS,F16,1638.4916551605236,36.41032466661656,1622.6845426368457,1606.94332864346,1768.4599809424092
NWOA-PS,F17,1775.4940566421865,38.94779452891836,1764.9293870154856,1717.0429736036897,1915.7491840299288
NWOA-PS,F18,1861.991700573934,44.62445868549552,1847.6789185333587,1811.2989841748906,2003.0339134123737
NWOA-PS,F19,1966.1542757363525,33.88771546446228,1954.0635978995997,1932.259231781733,2096.292002838183
NWOA-PS,F2,281.53703948722926,50.510715491966934,271.53553289894984,216.25316287259997,482.3727284478898
NWOA-PS,F20,2009.3122619876199,2.9093800002006476,2008.9138102251404,2004.7973088751355,2014.8954090673922
NWOA-PS,F21,2820.779326713036,2.022110833901436,2820.8292983875085,2817.56247440085,2824.9220774161545
NWOA-PS,F22,2879.2517540747535,10.71500498335972,2879.893432384378,2861.96813294828,2902.0999065969427
NWOA-PS,F23,28797.683179693486,570.99324274573,28737.506450699744,27978.302927129156,30013.067693719026
NWOA-PS,F24,3248.6773139954794,2.7866096214111646,3248.4189960094245,3240.852281971072,3252.935982369514
NWOA-PS,F25,4035.495638405216,726.5745316593329,3739.7642250628296,3344.418253782675,6317.082560186896
NWOA-PS,F26,8387.574251795237,3981.6973744971206,7705.50615423895,4506.311399315409,25719.379699484096
NWOA-PS,F27,3996.412009366892,346.49485552587396,3855.4159679848335,3583.215841690323,4884.941864747483
NWOA-PS,F28,72176.97583718538,560.4522195932155,72080.81176569653,71177.19659271954,73638.30478011082
NWOA-PS,F29,3683.1097305654444,35.1174689546139,3696.599035762233,3598.154721746392,3703.3592299594425
NWOA-PS,F3,3952.803347347049,4575.458775872232,2950.616566714708,628.59689774974,25084.422360302753
NWOA-PS,F30,4331.1878343145,527.9330083420738,4171.320865447367,3729.304899335647,5791.005683438351
